"","State","City","Year","Population","Violent.Crime","Murder","Rape.Revised","Rape.Legacy","Robbery","Aggravated.Assault","Property.Crime","Burglary","Larceny.Theft","Motor.Vehicle.Theft","Arson"
"146","CALIFORNIA","TEMECULA",2015,111673,51,0,5,0,20,26,1503,266,1077,160,1
"147","CALIFORNIA","THOUSAND OAKS",2014,129175,69,0,13,0,11,45,794,162,582,50,3
"148","CALIFORNIA","THOUSAND OAKS",2015,129976,65,0,18,0,12,35,830,131,638,61,4
"149","CALIFORNIA","TORRANCE",2014,147971,64,1,0,6,21,36,1218,282,813,123,2
"150","CALIFORNIA","TORRANCE",2015,149243,104,1,20,0,36,47,1418,272,980,166,1
"151","CALIFORNIA","VALLEJO",2014,119504,518,5,0,25,204,284,2380,1063,774,543,22
"152","CALIFORNIA","VALLEJO",2015,121257,502,8,55,0,154,285,2449,1084,852,513,17
"153","CALIFORNIA","VENTURA",2014,109246,121,1,0,12,45,63,1901,325,1484,92,2
"154","CALIFORNIA","VENTURA",2015,110077,196,1,32,0,53,110,1945,327,1493,125,8
"155","CALIFORNIA","VICTORVILLE",2014,122316,307,3,0,18,92,194,2100,891,931,278,8
"156","CALIFORNIA","VICTORVILLE",2015,123332,372,4,26,0,96,246,1891,617,991,283,23
"157","CALIFORNIA","VISALIA",2014,128488,233,5,0,17,74,137,1971,362,1325,284,2
"158","CALIFORNIA","VISALIA",2015,130405,285,3,34,0,75,173,1962,419,1303,240,10
"159","CALIFORNIA","WEST COVINA",2014,108136,106,0,0,2,31,73,1390,233,955,202,2
"160","CALIFORNIA","WEST COVINA",2015,109030,121,1,6,0,39,75,1460,182,1049,229,2
"161","COLORADO","AURORA",2014,350948,698,5,129,0,191,373,4832,905,3430,497,41
"162","COLORADO","AURORA",2015,360237,734,3,171,0,197,363,4961,781,3589,591,34
"163","COLORADO","BOULDER",2014,104284,122,1,22,0,13,86,1360,225,1056,79,14
"164","COLORADO","BOULDER",2015,105736,106,1,25,0,12,68,1376,237,1074,65,8
